Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,Primary Industry description
cofinimmo nv,https://permid.org/1-4296918546,Cofinimmo Lease Finance SA,36%,Possible,cofinimmo,https://permid.org/1-4295859240,Cofinimmo SA,92%,Excellent,False,Residential & Commercial REITs,Real Estate,Real Estate,Belgium,Belgium,Investment trusts that secure interests related to rights on residential and commercial real estate.
cofinimmo sanv,https://permid.org/1-4295859240,Cofinimmo SA,92%,Excellent,cofinimmo,https://permid.org/1-4295859240,Cofinimmo SA,92%,Excellent,True,Residential & Commercial REITs,Real Estate,Real Estate,Belgium,Belgium,Investment trusts that secure interests related to rights on residential and commercial real estate.
compagnie de saint gobain sa,https://permid.org/1-4295867362,Compagnie de Saint Gobain SA,92%,Excellent,compagnie de saint gobain,https://permid.org/1-4295867362,Compagnie de Saint Gobain SA,92%,Excellent,True,Homebuilding & Construction Supplies,Cyclical Consumer Products,Consumer Cyclicals,France,France,"Builders of residential homes, mobile homes and prefabricated homes, and manufacturers of value-added building products and home improvement components."
compagnie fin ind autoroutes,,,,No Match,compagnie fin ind autoroute,,,,No Match,False,0,0,0,0,0,0
compagnie generale des etablissements michelin clermont ferrand,https://permid.org/1-4295867411,Compagnie Generale des Etablissements Michelin SCA,18%,Possible,compagnie generale des etablissements michelin clermont ferrand,https://permid.org/1-4295867411,Compagnie Generale des Etablissements Michelin SCA,18%,Possible,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,France,France,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
compass group finance netherlands bv,https://permid.org/1-5064650117,Compass Group Finance Netherlands BV,92%,Excellent,compass group finance netherlands,https://permid.org/1-5064650117,Compass Group Finance Netherlands BV,73%,Good,True,Hotels & Entertainment Services,Cyclical Consumer Services,Consumer Cyclicals,Netherlands,Netherlands,"Operators of hotels, motels, cruise lines, restaurants, casinos, gaming operations, sports stadiums, golf courses, amusement parks and other recreational services."
compass group international bv,https://permid.org/1-5068304965,Compass Group International 10 BV,59%,Possible,compass group international,https://permid.org/1-5068304965,Compass Group International 10 BV,55%,Possible,True,0,0,0,0,0,0
conti gummi finance bv,https://permid.org/1-4296561684,Conti Gummi Finance BV,92%,Excellent,conti gummi finance,https://permid.org/1-4296561684,Conti Gummi Finance BV,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
continental ag,https://permid.org/1-4295869236,Continental AG,92%,Excellent,continental,https://permid.org/1-4295869236,Continental AG,59%,Possible,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Germany,Germany,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
corporacion de reservas estrategicas de productos petroliferos,https://permid.org/1-4295966650,Corporacion de Reservas Estrategicas de Productos Petroliferos,92%,Excellent,corporacion de reservas estrategicas de productos petrolifero,https://permid.org/1-4295966650,Corporacion de Reservas Estrategicas de Productos Petroliferos,45%,Possible,True,Oil & Gas,Energy - Fossil Fuels,Energy,Spain,Spain,"Producers, refiners and transporters of raw and refined oil and gas products."
covestro ag,https://permid.org/1-5046707555,Covestro AG,92%,Excellent,covestro,https://permid.org/1-5046707555,Covestro AG,92%,Excellent,True,Chemicals,Chemicals,Basic Materials,Germany,Germany,"Producers and refiners of agricultural, commodity and specialty chemicals."
covivio hotels saca,,,,No Match,covivio hotels saca,,,,No Match,False,0,0,0,0,0,0
covivio sa,https://permid.org/1-4295867087,Covivio SA,92%,Excellent,covivio,https://permid.org/1-4295867087,Covivio SA,92%,Excellent,True,Residential & Commercial REITs,Real Estate,Real Estate,France,France,Investment trusts that secure interests related to rights on residential and commercial real estate.
cp comboios de portugal epe,https://permid.org/1-4295886858,CP Comboios de Portugal EPE,92%,Excellent,cp comboios de portugal epe,https://permid.org/1-4295886858,CP Comboios de Portugal EPE,92%,Excellent,True,Passenger Transportation Services,Transportation,Industrials,Portugal,Portugal,"Providers of transportation services to passengers via air, ground and sea."
cpi property group sa,https://permid.org/1-5000002458,CPI Property Group SA,92%,Excellent,cpi property group,https://permid.org/1-5000002458,CPI Property Group SA,72%,Good,True,Residential & Commercial REITs,Real Estate,Real Estate,Luxembourg,Luxembourg,Investment trusts that secure interests related to rights on residential and commercial real estate.
crh finance dac,https://permid.org/1-5052139913,CRH Finance DAC,92%,Excellent,crh finance,,,,No Match,False,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,"Providers of retail, commercial and investment banking, consumer financial services, investment services, commercial loans and diversified financial services."
crh finland services oyj,https://permid.org/1-5040186325,CRH Finland Services Oyj,92%,Excellent,crh finland services,https://permid.org/1-5040186325,CRH Finland Services Oyj,61%,Good,True,Construction Materials,Mineral Resources,Basic Materials,Finland,Finland,"Miners and producers of raw materials for road and building construction. Includes extractors of sand, gravel, rock, clay, granite, limestone, marble, slate, gypsum, lime, and producers of cement, concrete, and bricks, as well as operators of filtering, bleaching, crushing, cutting, sizing and processing services."
crh funding bv,https://permid.org/1-5040185854,CRH Funding BV,92%,Excellent,crh funding,https://permid.org/1-4297743209,CRH Group Funding Ltd,13%,Possible,False,Construction Materials,Mineral Resources,Basic Materials,Netherlands,Netherlands,"Miners and producers of raw materials for road and building construction. Includes extractors of sand, gravel, rock, clay, granite, limestone, marble, slate, gypsum, lime, and producers of cement, concrete, and bricks, as well as operators of filtering, bleaching, crushing, cutting, sizing and processing services."
crh smw finance dac,https://permid.org/1-5074210015,CRH SMW Finance DAC,92%,Excellent,crh smw finance,https://permid.org/1-5074210015,CRH SMW Finance DAC,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
ctp bv,,,,No Match,ctp,,,,No Match,False,0,0,0,0,0,0
czech gas networks investments sarl,https://permid.org/1-5068928626,Czech Gas Networks Investments SARL,92%,Excellent,czech gas networks investments,https://permid.org/1-5068928626,Czech Gas Networks Investments SARL,46%,Possible,True,Investment Holding Companies,Investment Holding Companies,Financials,Luxembourg,Luxembourg,"Companies primarily engaged in investing in securities/stakes of other companies and for their own profits. Investment Holding Companies might have both minority and majority stakes. Excludes companies investing in private equity firms, classified in Private Equity; companies investing in venture capital firms, classified in Venture Capital; companies operating through subsidiaries/majority-held entities in various economic segments, classified according to the dominant segment of activity or, in case of a significant size and lack of dominant segment, in Industrial Conglomerates; UK-type investment trusts, classified in UK Investment Trusts."
daa finance plc,https://permid.org/1-4296837653,Daa Finance PLC,92%,Excellent,daa finance,https://permid.org/1-4296837653,Daa Finance PLC,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
daimler ag,https://permid.org/1-4295869694,Daimler AG,92%,Excellent,daimler,https://permid.org/1-4295869694,Daimler AG,92%,Excellent,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Germany,Germany,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
daimler intl finance bv,https://permid.org/1-4296434224,Daimler Benz International Finance BV,41%,Possible,daimler intl finance,https://permid.org/1-4296434224,Daimler Benz International Finance BV,11%,Possible,True,0,0,0,0,0,0
danone,https://permid.org/1-4295867387,Danone SA,92%,Excellent,danone,https://permid.org/1-4295867387,Danone SA,92%,Excellent,True,Food & Tobacco,Food & Beverages,Consumer Non-Cyclicals,France,France,"Producers and processors of Food & Tobacco. Includes operators of farms, aquaculture and fisheries."
dassault systemes,https://permid.org/1-4295867357,Dassault Systemes SE,92%,Excellent,dassault systeme,https://permid.org/1-5035936753,Dassault Systemes SolidWorks Corp,92%,Excellent,False,Software & IT Services,Software & IT Services,Technology,France,France,"Developers and marketers of generic system and application software, as well as providers of consulting and IT services."
delhaize group,,,,No Match,delhaize group,,,,No Match,False,0,0,0,0,0,0
delhaize group sa,,,,No Match,delhaize group,,,,No Match,False,0,0,0,0,0,0
delta lloyd nv,https://permid.org/1-4297753012,Banque Nagelmackers NV,67%,Good,delta lloyd,,,,No Match,False,Banking Services,Banking & Investment Services,Financials,Belgium,Belgium,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
deutsche bahn finance bv,https://permid.org/1-4296558761,Deutsche Bahn Finance BV,92%,Excellent,deutsche bahn finance,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,83%,Good,False,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
deutsche bahn finance gmbh,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,92%,Excellent,deutsche bahn finance,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,83%,Good,True,Banking Services,Banking & Investment Services,Financials,Germany,Germany,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
deutsche borse ag,https://permid.org/1-4296690429,Deutsche Boerse Systems AG,65%,Good,deutsche borse,https://permid.org/1-5000775305,Deutsche Boerse Services sro,71%,Good,False,0,0,0,0,0,0
deutsche lufthansa ag,https://permid.org/1-4295868979,Deutsche Lufthansa AG,92%,Excellent,deutsche lufthansa,https://permid.org/1-4295868979,Deutsche Lufthansa AG,66%,Good,True,Passenger Transportation Services,Transportation,Industrials,Germany,Germany,"Providers of transportation services to passengers via air, ground and sea."
deutsche post ag,https://permid.org/1-4295869983,Deutsche Post AG,92%,Excellent,deutsche post,https://permid.org/1-4295869983,Deutsche Post AG,92%,Excellent,True,Freight & Logistics Services,Transportation,Industrials,Germany,Germany,"Providers of freight and logistics services by all means, such as air, marine and ground."
deutsche post finance bv,https://permid.org/1-4296092017,Deutsche Post Finance BV,92%,Excellent,deutsche post finance,https://permid.org/1-4296092017,Deutsche Post Finance BV,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
deutsche telekom ag,https://permid.org/1-4295870332,Deutsche Telekom AG,92%,Excellent,deutsche telekom,https://permid.org/1-4295870332,Deutsche Telekom AG,92%,Excellent,True,Telecommunications Services,Telecommunications Services,Technology,Germany,Germany,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.
deutsche telekom intl finbv,,,,No Match,deutsche telekom intl fin,https://permid.org/1-4296543170,Deutsche Telekom International Finance BV,70%,Good,False,Telecommunications Services,Telecommunications Services,Technology,Netherlands,Netherlands,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.
deutsche wohnen ag,,,,No Match,deutsche wohnen,https://permid.org/1-5062386053,Deutsche Wohnen SE,92%,Excellent,False,Real Estate Operations,Real Estate,Real Estate,Germany,Germany,"Developers and managers of real estate who build, rent and lease residential and commercial properties. Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
diageo capital bv,https://permid.org/1-5076372727,Diageo Capital BV,92%,Excellent,diageo capital,https://permid.org/1-4296543161,Diageo Capital PLC,92%,Excellent,False,Professional & Commercial Services,Industrial & Commercial Services,Industrials,United Kingdom,Netherlands,"Providers of environmental, employment, business support, professional information, and commercial printing services and supplies."
digital dutch finco bv,https://permid.org/1-5071570642,Digital Dutch Finco BV,92%,Excellent,digital dutch finco,https://permid.org/1-5071570642,Digital Dutch Finco BV,67%,Good,True,0,0,0,0,0,0
digital intrepid holding bv,https://permid.org/1-5073639223,Digital Intrepid Holding BV,92%,Excellent,digital intrepid holding,https://permid.org/1-5073639223,Digital Intrepid Holding BV,64%,Good,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
distribuidora intl de alimsa,,,,No Match,distribuidora intl de alim,,,,No Match,False,0,0,0,0,0,0
dna oyj,https://permid.org/1-4298361219,DNA Oyj,92%,Excellent,dna,,,,No Match,False,Telecommunications Services,Telecommunications Services,Technology,Finland,Finland,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.
dsv panalpina finance bv,https://permid.org/1-5079903944,DSV Panalpina Finance BV,92%,Excellent,dsv panalpina finance,https://permid.org/1-5079903944,DSV Panalpina Finance BV,69%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
eandis,https://permid.org/1-4297633980,Fluvius System Operator CVBA,10%,Possible,eandi,,,,No Match,False,Multiline Utilities,Utilities,Utilities,Belgium,Belgium,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
eandis cvba,,,,No Match,eandis,https://permid.org/1-4297633980,Fluvius System Operator CVBA,10%,Possible,False,Multiline Utilities,Utilities,Utilities,Belgium,Belgium,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
easyjet finco bv,https://permid.org/1-5076385165,EasyJet FinCo BV,92%,Excellent,easyjet finco,https://permid.org/1-5076385165,EasyJet FinCo BV,92%,Excellent,True,Investment Holding Companies,Investment Holding Companies,Financials,Netherlands,Netherlands,"Companies primarily engaged in investing in securities/stakes of other companies and for their own profits. Investment Holding Companies might have both minority and majority stakes. Excludes companies investing in private equity firms, classified in Private Equity; companies investing in venture capital firms, classified in Venture Capital; companies operating through subsidiaries/majority-held entities in various economic segments, classified according to the dominant segment of activity or, in case of a significant size and lack of dominant segment, in Industrial Conglomerates; UK-type investment trusts, classified in UK Investment Trusts."
eaton capital unlimited co,https://permid.org/1-5051785981,Eaton Capital Unlimited Co,92%,Excellent,eaton capital unlimited co,https://permid.org/1-5051785981,Eaton Capital Unlimited Co,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
edenred sa,https://permid.org/1-5000759495,Edenred SA,92%,Excellent,edenred,https://permid.org/1-5000759495,Edenred SA,92%,Excellent,True,Professional & Commercial Services,Industrial & Commercial Services,Industrials,France,France,"Providers of environmental, employment, business support, professional information, and commercial printing services and supplies."
edison spa,https://permid.org/1-4295875687,Edison SpA,92%,Excellent,edison,https://permid.org/1-4295903910,Edison International,23%,Possible,False,Multiline Utilities,Utilities,Utilities,Italy,Italy,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
edp energias de portugal sa,https://permid.org/1-4295886834,EDP Energias de Portugal SA,92%,Excellent,edp energias de portugal,https://permid.org/1-4295886834,EDP Energias de Portugal SA,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Portugal,Portugal,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
edp finance bv,https://permid.org/1-4297963439,EDP Finance BV,92%,Excellent,edp finance,https://permid.org/1-4297963439,EDP Finance BV,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
eesti energia as,https://permid.org/1-4296466265,Eesti Energia AS,92%,Excellent,eesti energia,https://permid.org/1-4296466265,Eesti Energia AS,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Estonia,Estonia,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
el corte ingle sa,,,,No Match,el corte ingle,,,,No Match,False,0,0,0,0,0,0
electricite de france edf,https://permid.org/1-4296679910,EDF International SAS,27%,Possible,electricite de france edf,https://permid.org/1-4296679910,EDF International SAS,27%,Possible,True,Investment Holding Companies,Investment Holding Companies,Financials,France,France,"Companies primarily engaged in investing in securities/stakes of other companies and for their own profits. Investment Holding Companies might have both minority and majority stakes. Excludes companies investing in private equity firms, classified in Private Equity; companies investing in venture capital firms, classified in Venture Capital; companies operating through subsidiaries/majority-held entities in various economic segments, classified according to the dominant segment of activity or, in case of a significant size and lack of dominant segment, in Industrial Conglomerates; UK-type investment trusts, classified in UK Investment Trusts."
elering as,https://permid.org/1-4298221301,Elering AS,92%,Excellent,elering,https://permid.org/1-4298221301,Elering AS,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Estonia,Estonia,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
elia group sa,https://permid.org/1-4295859541,Elia Group SA,92%,Excellent,elia group,https://permid.org/1-4295859541,Elia Group SA,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Belgium,Belgium,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
elia system operator nv,,,,No Match,elia system operator,https://permid.org/1-4297577357,Elia,92%,Excellent,False,0,0,0,0,0,0
elia system operator sanv,,,,No Match,elia system operator,https://permid.org/1-4297577357,Elia,92%,Excellent,False,0,0,0,0,0,0
elia transmission belgium,https://permid.org/1-5071549731,Elia Transmission Belgium NV,74%,Good,elia transmission belgium,https://permid.org/1-5071549731,Elia Transmission Belgium NV,74%,Good,True,Electric Utilities & IPPs,Utilities,Utilities,Belgium,Belgium,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
elisa oyj,https://permid.org/1-5000040066,Elisa Oyj,92%,Excellent,elisa,https://permid.org/1-5000040066,Elisa Oyj,92%,Excellent,True,Telecommunications Services,Telecommunications Services,Technology,Finland,Finland,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.
enagas financiaciones sau,https://permid.org/1-5037846601,Enagas Financiaciones SAU,92%,Excellent,enagas financiaciones,https://permid.org/1-5037846601,Enagas Financiaciones SAU,80%,Good,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
enbw international finance bv,https://permid.org/1-4296930961,EnBW International Finance BV,92%,Excellent,enbw international finance,https://permid.org/1-4296930961,EnBW International Finance BV,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,Netherlands,Netherlands,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
enel finance intl nv,https://permid.org/1-5001426741,ENEL Finance International NV,92%,Excellent,enel finance intl,https://permid.org/1-5001426741,ENEL Finance International NV,69%,Good,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
enel spa,https://permid.org/1-4295875798,Enel SpA,92%,Excellent,enel,https://permid.org/1-4295875798,Enel SpA,92%,Excellent,True,0,0,0,0,0,0
energie ag oberosterreich,https://permid.org/1-5000435851,Energie AG Oberoesterreich Umwelt Holding GmbH,12%,Possible,energie ag oberosterreich,https://permid.org/1-5000435851,Energie AG Oberoesterreich Umwelt Holding GmbH,12%,Possible,True,0,0,0,0,0,0
enexis holding nv,https://permid.org/1-4298484226,Enexis Holding NV,92%,Excellent,enexis holding,https://permid.org/1-4298484226,Enexis Holding NV,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
engie,https://permid.org/1-4295866806,Engie SA,92%,Excellent,engie,https://permid.org/1-4295866806,Engie SA,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,France,France,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
engie alliance gie,https://permid.org/1-5000076191,Engie Alliance Gie,92%,Excellent,engie alliance gie,https://permid.org/1-5000076191,Engie Alliance Gie,92%,Excellent,True,0,0,0,0,0,0
engie sa,https://permid.org/1-4295866806,Engie SA,92%,Excellent,engie,https://permid.org/1-4295866806,Engie SA,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,France,France,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
eni finance international sa,https://permid.org/1-4296715124,Eni Finance International SA,92%,Excellent,eni finance international,https://permid.org/1-4296715124,Eni Finance International SA,92%,Excellent,True,Oil & Gas,Energy - Fossil Fuels,Energy,Belgium,Belgium,"Producers, refiners and transporters of raw and refined oil and gas products."
eni spa,https://permid.org/1-4295875633,Eni SpA,92%,Excellent,eni,https://permid.org/1-4295875633,Eni SpA,92%,Excellent,True,Oil & Gas,Energy - Fossil Fuels,Energy,Italy,Italy,"Producers, refiners and transporters of raw and refined oil and gas products."
enodia scrl,https://permid.org/1-4297881749,Enodia SCRL,92%,Excellent,enodia,https://permid.org/1-5060518123,Enodia Holding Srl,33%,Possible,False,Investment Banking & Investment Services,Banking & Investment Services,Financials,Belgium,Belgium,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
eon intl finance bv,,,,No Match,eon intl finance,,,,No Match,False,0,0,0,0,0,0
eon se,,,,No Match,eon,,,,No Match,False,0,0,0,0,0,0
erdol lagergesellschaft mbh,https://permid.org/1-5079546902,Erdol-Lagergesellschaft mbH,92%,Excellent,erdol lagergesellschaft,https://permid.org/1-5079546902,Erdol-Lagergesellschaft mbH,73%,Good,True,0,0,0,0,0,0
erg spa,https://permid.org/1-4295875564,ERG SpA,92%,Excellent,erg,https://permid.org/1-4295875564,ERG SpA,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Italy,Italy,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
esb finance dac,https://permid.org/1-5000653057,ESB Finance DAC,92%,Excellent,esb finance,https://permid.org/1-5044197201,ESB Financial Enterprises Ltd,92%,Excellent,False,Electric Utilities & IPPs,Utilities,Utilities,Ireland,Ireland,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
esselunga spa,https://permid.org/1-4297965300,Esselunga SpA,92%,Excellent,esselunga,https://permid.org/1-4297965300,Esselunga SpA,92%,Excellent,True,Food & Drug Retailing,Food & Drug Retailing,Consumer Non-Cyclicals,Italy,Italy,"Retailers operating pharmacies, grocery, convenience, liquor and specialty food stores."
essilor international,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,essilor international,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,True,Textiles & Apparel,Cyclical Consumer Products,Consumer Cyclicals,France,France,"Manufacturers of fabrics, leather and other textiles, apparel, accessories and footwear."
essilorluxottica sa,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,essilorluxottica,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,True,Textiles & Apparel,Cyclical Consumer Products,Consumer Cyclicals,France,France,"Manufacturers of fabrics, leather and other textiles, apparel, accessories and footwear."
eurofins scientific se,https://permid.org/1-5037433929,Eurofins Scientific SE,92%,Excellent,eurofins scientific,https://permid.org/1-5037433929,Eurofins Scientific SE,92%,Excellent,True,Professional & Commercial Services,Industrial & Commercial Services,Industrials,Luxembourg,Luxembourg,"Providers of environmental, employment, business support, professional information, and commercial printing services and supplies."
eurogrid gmbh,https://permid.org/1-5001234109,Eurogrid GmbH,92%,Excellent,eurogrid,https://permid.org/1-5001234109,Eurogrid GmbH,92%,Excellent,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Germany,Germany,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
euronext nv,https://permid.org/1-5042958012,Euronext NV,92%,Excellent,euronext,https://permid.org/1-5042958012,Euronext NV,92%,Excellent,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
eustream as,https://permid.org/1-4298244950,Eustream as,92%,Excellent,eustream,https://permid.org/1-4298244950,Eustream as,92%,Excellent,True,Oil & Gas Related Equipment and Services,Energy - Fossil Fuels,Energy,Slovakia,Slovakia,"Providers of oil and gas drilling and related services, as well as manufacturers of oil related equipment."
eutelsat sa,https://permid.org/1-4295866983,Eutelsat Communications SA,51%,Possible,eutelsat,https://permid.org/1-4295866983,Eutelsat Communications SA,38%,Possible,True,Telecommunications Services,Telecommunications Services,Technology,France,France,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.
evn ag,https://permid.org/1-4295859045,EVN AG,92%,Excellent,evn,https://permid.org/1-4295859045,EVN AG,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Austria,Austria,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
evonik finance bv,https://permid.org/1-5036394213,Evonik Finance BV,92%,Excellent,evonik finance,https://permid.org/1-5036394213,Evonik Finance BV,92%,Excellent,True,Chemicals,Chemicals,Basic Materials,Netherlands,Netherlands,"Producers and refiners of agricultural, commodity and specialty chemicals."
evonik industries ag,https://permid.org/1-5000074393,Evonik Industries AG,92%,Excellent,evonik industries,https://permid.org/1-5000074393,Evonik Industries AG,92%,Excellent,True,Chemicals,Chemicals,Basic Materials,Germany,Germany,"Producers and refiners of agricultural, commodity and specialty chemicals."
ewe ag,https://permid.org/1-4295869127,EWE AG,92%,Excellent,ewe,https://permid.org/1-4295869127,EWE AG,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,Germany,Germany,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
exor nv,https://permid.org/1-5052536757,Exor NV,92%,Excellent,exor,https://permid.org/1-5052536757,Exor NV,19%,Possible,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Netherlands,Netherlands,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
ferrovial emisiones sa,https://permid.org/1-5038048731,Ferrovial Emisiones SA,92%,Excellent,ferrovial emisiones,https://permid.org/1-5038048731,Ferrovial Emisiones SA,78%,Good,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
ferrovie dello stato italiane spa,https://permid.org/1-4295963223,Ferrovie dello Stato Italiane SpA,92%,Excellent,ferrovie dello stato italiane,https://permid.org/1-4295963223,Ferrovie dello Stato Italiane SpA,92%,Excellent,True,Passenger Transportation Services,Transportation,Industrials,Italy,Italy,"Providers of transportation services to passengers via air, ground and sea."
